repository,branch,used_,comment_
bowtie1,master,FALSE,sequtils_test
bowtie2,master,FALSE,sequtils_test
breseq,master,FALSE,sequtils_test
calculate_utilities,master,FALSE,delete
chemioinformatics_utilities,master,FALSE,
COBRA_multi-omics_analysis,master,FALSE,delete
cobrapy,master,FALSE,delete
component-contribution,master,FALSE,SBaaS
cufflinks,master,FALSE,sequtils_test
ddt,master,TRUE,
ddt_python,master,FALSE,SBaaS
docker_jupyterNB,master,FALSE,
docker_liferay,master,FALSE,
docker_openBIS,master,FALSE,
docker_openms,master,FALSE,
docker_postgres,master,FALSE,
docker_proteoWizard,master,FALSE,
docker_vsc,master,FALSE,
escher,master,FALSE,delete
free-programming-books,master,FALSE,
genomeScale_MFA,master,FALSE,SBaaS
genomeScale_MFA_INCA,master,FALSE,SBaaS
genomeScale_MFA_model,master,FALSE,SBaaS
glpk,master,FALSE,Docker
htseq-count,master,FALSE,sequtils_test
io_utilities,master,FALSE,SBaaS
isotopomer_utilities,master,FALSE,
listDict,master,FALSE,SBaaS
matplotlib_utilities,master,FALSE,
MDV_utilities,master,FALSE,
me,master,FALSE,delete
molmass,master,FALSE,SBaaS
MS_utilities,master,FALSE,delete
multi-omics_analysis,master,FALSE,delete
OpenMS,master,FALSE,
optGpSampler,master,FALSE,Docker
physiology_analysis,master,FALSE,SBaaS
python_statistics,master,FALSE,SBaaS
python3cobrapy,master,FALSE,Docker
python3scientific,master,FALSE,Docker
quantification_analysis,master,FALSE,SBaaS
quantification_utilities,master,FALSE,SBaaS
r_base,master,FALSE,Docker
r_statistics,master,FALSE,SBaaS
samtools,master,FALSE,sequtils_test
SBaaS,master,FALSE,
SBaaS_ale,master,FALSE,SBaaS
SBaaS_base,master,FALSE,SBaaS
SBaaS_COBRA,master,FALSE,SBaaS
SBaaS_isotopomer,master,FALSE,SBaaS
SBaaS_LIMS,master,FALSE,SBaaS
SBaaS_MFA,master,FALSE,SBaaS
SBaaS_models,master,FALSE,SBaaS
SBaaS_physiology,master,FALSE,SBaaS
SBaaS_quantification,master,FALSE,SBaaS
SBaaS_resequencing,master,FALSE,SBaaS
SBaaS_rnasequencing,master,FALSE,SBaaS
SBaaS_statistics,master,FALSE,SBaaS
SBaaS_thermodynamics,master,FALSE,SBaaS
SBaaS_visualization,master,FALSE,SBaaS
SBaaS_webServer,master,FALSE,SBaaS
sequencing_analysis,master,FALSE,SBaaS
sequencing_utilities,master,FALSE,SBaaS
smartPeak,master,FALSE,
thermodynamics,master,FALSE,SBaaS
